Project-Number,Name,Lat,Lng,Weather_Date,Weather_Type
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-08 12:00:00,good weather
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-08 15:00:00,Snow
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-08 18:00:00,Snow
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-09 06:00:00,Snow
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-09 09:00:00,Snow
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-09 12:00:00,High Wind
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-09 15:00:00,good weather
19-040,SADDLE CREEK RTB,41.2404302,-96.011843,2024-01-09 18:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-05 06:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-05 09:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-05 12:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-05 15:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-05 18:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-06 06:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-06 09:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-06 12:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-06 15:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-06 18:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-07 06:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-07 09:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-07 12:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-07 15:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-07 18:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-08 06:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-08 09:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-08 12:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-08 15:00:00,Snow
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-08 18:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-09 06:00:00,Extreme Low Temperature
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-09 09:00:00,Extreme Low Temperature
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-09 12:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-09 15:00:00,good weather
19-048,MARCY GULCH WWTP,39.55690000000001,-105.03353500000003,2024-01-09 18:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-05 06:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-05 09:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-05 12:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-05 15:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-05 18:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-06 06:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-06 09:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-06 12:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-06 15:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-06 18:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-07 06:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-07 09:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-07 12:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-07 15:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-07 18:00:00,good weather
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-08 06:00:00,Rain
